est_id;nombre;R;X;Y;Z;num_anios
249;6321;32,703;562658;4104657;515;17
250;6322;50,8917;554164;4100901;490;26
251;6324;27,6968;548057;4088845;127;18
252; 6325O  ;55,3546;557332;4078025;21;42
253;6326;21,3885;563220;4078868;70;13
254;6327;49,9765;570792;4091470;356;29
255; 6328N  ;35,3525;571056;4074677;50;24
256;6329;19,2798;572304;4064826;41;16
257;6331;41,2164;571095;4099639;550;23
258;6332;58,5134;597530;4088900;202;33
259;6333;44,1133;587255;4101794;340;21
260;6339;56,1924;594032;4114195;120;22
261;6340;45,4169;604312;4114686;12;22
262;6342;83,0373;582886;4119009;500;30
263;6343;39,631;600838;4122596;100;20
264;6346;54,042;535507;4132235;954;24
265;6347;71,4768;534804;4123757;1600;30
266;6348;54,9972;544582;4137825;885;20
267; 6348E  ;57,0261;542634;4134117;800;18
268;6350;45,9589;550029;4131693;816;18
269;6351;35,7569;549773;4133232;680;15
270;6354;63,5531;557081;4144065;970;21
271;6355;75,3304;562205;4148879;1194;33
272;6356;66,0596;556464;4133583;560;25
273;6357;96,2073;563772;4120537;1010;34
274; 6357I  ;49,6162;561595;4131770;536;16
275; 6357U  ;65,5096;567360;4118716;935;24
276;6358;106,6768;567587;4121091;942;39
277;6359;35,8973;562069;4134239;486;17
278;6361;78,0164;572465;4126926;486;30
279;6363;47,0052;570695;4146943;720;21
280;6364;73,6184;575440;4138355;420;33
281; 6365E  ;36,4242;589652;4150054;696;12
282;6367;40,7373;593138;4139150;293;24
283;6369;33,9091;590790;4135734;300;13
284;6370;24,071;599290;4128433;90;11
285;6371;33,1208;598821;4147230;430;15
286;6372;34,2312;610465;4139978;180;18
287;6374;45,6336;597619;4134516;460;18
288;6375;47,746;346362;4111218;450;18
